Original,New
Battery,Battery
battery_10,Battery
battery_2,Battery
battery_4,Battery
battery_6,Battery
battery_8,Battery
New Capacity - Extra 4 hr Batteries,Battery
Bio_CC,Biopower
Bio_CC_Whole,Biopower
Bio_CT,Biopower
Bio_ICE,Biopower
Bio_ST,Biopower
Biogas CT,Biopower
Biogas_CT_ERCOT,Biopower
Biomass,Biopower
Biomass_EI,Biopower
Biomass_MX,Biopower
Biomass_WI,Biopower
biopower,Biopower
Biopower,Biopower
lfill-gas,Biopower
ReEDS_biopower,Biopower
ReEDS_lfill-gas,Biopower
Solid Biofuel ST,Biopower
Solid_Biofuel_ST_ERCOT,Biopower
WasteHeat_ST,Biopower
CAN,Canadian Imports
can-imports,Canadian Imports
ReEDS_canada,Canadian Imports
ReEDS_can-imports,Canadian Imports
Coal,Coal
Coal ST,Coal
Coal/Steam,Coal
Coal_ST,Coal
Coal_ST_EI,Coal
Coal_ST_ERCOT,Coal
Coal_ST_MX,Coal
Coal_ST_WI,Coal
coal-ccs,Coal
coal-igcc,Coal
Coal-IGCC,Coal
coal-new,Coal
coaloldscr,Coal
CoalOldScr,Coal
coalolduns,Coal
CoalOldUns,Coal
cofirenew,Coal
CrossCompoundWhole_Coal,Coal
ReEDS_coal-ccs,Coal
ReEDS_coal-igcc,Coal
ReEDS_coal-new,Coal
ReEDS_coaloldscr,Coal
ReEDS_cofirenew,Coal
ReEDS_cofireold,Coal
SUBCRITICAL-COAL,Coal
SUBCRITICAL-COAL_BD,Coal
SUBCRITICAL-LIGNITE,Coal
SUPERCRITICAL-COAL,Coal
SUPERCRITICAL-COAL_BD,Coal
CSP,CSP
CSP_MX,CSP
CSP_noTES,CSP
CSP-noTES_WI,CSP
csp-ns,CSP
CSP-TES,CSP
CSP-TES_WI,CSP
ReEDS_csp,CSP
ReEDS_csp-ns,CSP
Curtailment,Curtailment
Curtailment,Curtailment
2024_dpv,dPV
2024_DUPV,dPV
DG-BTM_2028,dPV
distPV,dPV
distpv,dPV
dpv,dPV
dPV,dPV
DUPV,dPV
dupv_2,dPV
dupv_3,dPV
dupv_4,dPV
dupv_5,dPV
dupv_6,dPV
dupv_7,dPV
ReEDS_distpv,dPV
ReEDS_dupv,dPV
RPM VG PV Rooftop,dPV
COGENERATION-BAGASSE,Dual Fuel
Dual_Fuel_NE,Dual Fuel
Dual_Fuel_NY,Dual Fuel
WHR,Dual Fuel
CC,Gas-CC
CC_AB_Cogen,Gas-CC
CC_Whole_NG_Aero,Gas-CC
CC_Whole_NG_Ind,Gas-CC
CC_Whole_NG_SS,Gas-CC
CC_WI,Gas-CC
CCGT-GAS,Gas-CC
CCGT-LNG,Gas-CC
CCGT-NAPTHA,Gas-CC
CCPP_BD,Gas-CC
CT_AB_Cogen,Gas-CC
CT_NG_Aero,Gas-CC
CT_NG_Ind,Gas-CC
Gas CC,Gas-CC
Gas CC_ERCOT,Gas-CC
gas-cc,Gas-CC
Gas-CC,Gas-CC
GasCC_ERCOT,Gas-CC
NG/CC,Gas-CC
NG_CC_EI,Gas-CC
NGCC_MX,Gas-CC
ReEDS_gas-cc,Gas-CC
ReEDS_gas-cc-nsp,Gas-CC
XcelNG,Gas-CC
ReEDS_gas-cc-ccs,Gas-CC CCS
CSU_cold_boostgas-cc-ccs-f2,Gas-CC CCS-flex
CSU_cost_boostgas-cc-ccs-f2,Gas-CC CCS-flex
CSU_hot_pumpgas-cc-ccs-f2,Gas-CC CCS-flex
CSU_NGCCgas-cc-ccs-f2,Gas-CC CCS-flex
Envergex_NGCCgas-cc-ccs-f2,Gas-CC CCS-flex
Envergex_pumpgas-cc-ccs-f2,Gas-CC CCS-flex
Gas-CC-CCS-F1,Gas-CC CCS-flex
Gas-CC-CCS-F2,Gas-CC CCS-flex
Gas-CC-CCS-F3,Gas-CC CCS-flex
gas-cc-ccs-flex,Gas-CC CCS-flex
GE_NGCCgas-cc-ccs-f2,Gas-CC CCS-flex
GE_pumpgas-cc-ccs-f2,Gas-CC CCS-flex
Georgia_Tech_NGCCgas-cc-ccs-f3,Gas-CC CCS-flex
Georgia_Tech_pumpgas-cc-ccs-f3,Gas-CC CCS-flex
LUNA_NGCCgas-cc-ccs-f1,Gas-CC CCS-flex
LUNA_pumpgas-cc-ccs-f1,Gas-CC CCS-flex
MIT_DACgas-cc-ccs-f1,Gas-CC CCS-flex
MIT_NGCCgas-cc-ccs-f1,Gas-CC CCS-flex
MIT_pumpgas-cc-ccs-f1,Gas-CC CCS-flex
Cogen_MX,Gas-CT
CT,Gas-CT
CT_BD,Gas-CT
CT_WI,Gas-CT
CT-GAS,Gas-CT
Gas CT,Gas-CT
Gas_CT_ERCOT,Gas-CT
gas-ct,Gas-CT
Gas-CT,Gas-CT
New Capacity - Extra Gas CTs,Gas-CT
NG/CT,Gas-CT
NG_CT_EI,Gas-CT
NGCT_MX,Gas-CT
